"nconst","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"nm0000033","Alfred Hitchcock",1899,1980,"director,producer,writer","tt0040746,tt0052357,tt0053125,tt0054215"
"nm0000034","William Holden",1918,1981,"actor,soundtrack","tt0047437,tt0043014,tt0074958,tt0046359"
"nm0000035","James Horner",1953,2015,"music_department,soundtrack,composer","tt0090633,tt0120746,tt0120338,tt0499549"
"nm0000036","Buster Keaton",1895,1966,"actor,writer,director","tt0016332,tt0015324,tt0017925,tt0019421"
"nm0000037","Gene Kelly",1912,1996,"soundtrack,actor,miscellaneous","tt0045152,tt0043278,tt0041716,tt0053946"
"nm0000038","Grace Kelly",1929,1982,"actress,soundtrack","tt0046912,tt0047396,tt0046874,tt0048728"
"nm0000039","Deborah Kerr",1921,2007,"actress,soundtrack","tt0049408,tt0050105,tt0039192,tt0045793"
"nm0000040","Stanley Kubrick",1928,1999,"writer,director,producer","tt0066921,tt0093058,tt0072684,tt0062622"
"nm0000041","Akira Kurosawa",1910,1998,"writer,director,assistant_director","tt0047478,tt0080979,tt0051808,tt0089881"
"nm0000042","Alan Ladd",1913,1964,"actor,producer,camera_department","tt0046303,tt0039056,tt0038369,tt0035432"
"nm0000043","Veronica Lake",1922,1973,"actress,soundtrack,producer","tt0038369,tt0034881,tt0034240,tt0035432"
"nm0000044","Burt Lancaster",1913,1994,"actor,producer,miscellaneous","tt0051036,tt0045793,tt0055798,tt0053793"
"nm0000045","Bruce Lee",1940,1973,"actor,writer,miscellaneous","tt0068767,tt0070034,tt0068935,tt0067824"
"nm0000046","Vivien Leigh",1913,1967,"actress,soundtrack,writer","tt0033238,tt0034272,tt0044081,tt0031381"
"nm0000047","Sophia Loren",1934,NA,"actress,soundtrack","tt0060121,tt0076085,tt0054749,tt0058335"
"nm0000048","Peter Lorre",1904,1964,"actor,soundtrack,writer","tt0022100,tt0033870,tt0034583,tt0036613"
"nm0000049","Henry Mancini",1924,1994,"music_department,soundtrack,composer","tt0057413,tt0383216,tt0054698,tt0085101"
"nm0000050","Groucho Marx",1890,1977,"soundtrack,actor,writer","tt0023969,tt0023027,tt0026778,tt0019777"
"nm0000051","James Mason",1909,1984,"actor,producer,writer","tt0045943,tt0056193,tt0047522,tt0053125"
"nm0000052","Marcello Mastroianni",1924,1996,"actor,producer,soundtrack","tt0091113,tt0076085,tt0056801,tt0053779"
"nm0000053","Robert Mitchum",1917,1997,"actor,soundtrack,producer","tt0048424,tt0039689,tt0056197,tt0050356"
"nm0000054","Marilyn Monroe",1926,1962,"soundtrack,actress,writer","tt0045810,tt0053291,tt0050861,tt0048605"
"nm0000055","Alfred Newman",1900,1970,"music_department,composer,soundtrack","tt0042192,tt0434409,tt0049408,tt0065377"
"nm0000056","Paul Newman",1925,2008,"actor,producer,director","tt0054997,tt0257044,tt0110684,tt0084855"
"nm0000057","David Niven",1910,1983,"actor,producer,soundtrack","tt0048960,tt0061452,tt0074937,tt0052182"
"nm0000058","Maureen O'Hara",1920,2015,"actress,soundtrack","tt0039628,tt0031505,tt0055277,tt0045061"
"nm0000059","Laurence Olivier",1907,1989,"actor,producer,director","tt0069281,tt0077269,tt0074860,tt0032976"
"nm0000060","Gregory Peck",1916,2003,"actor,producer,soundtrack","tt0056592,tt0077269,tt0046250,tt0038109"
"nm0000061","Tyrone Power",1914,1958,"actor,soundtrack,producer","tt0042256,tt0034405,tt0051201,tt0043959"
"nm0000062","Elvis Presley",1935,1977,"soundtrack,actor,music_department","tt0053848,tt0054692,tt0056585,tt0056023"
"nm0000063","Anthony Quinn",1915,2001,"actor,producer,soundtrack","tt0064952,tt0056172,tt0057831,tt0049456"
"nm0000064","Edward G. Robinson",1893,1973,"actor,soundtrack,writer","tt0038991,tt0040506,tt0021079,tt0036775"
"nm0000065","Nino Rota",1911,1979,"composer,soundtrack,music_department","tt0063518,tt0056801,tt0071562,tt0068646"
"nm0000066","Jane Russell",1921,2011,"actress,soundtrack,producer","tt0044863,tt0043476,tt0043643,tt0045810"
"nm0000067","Miklós Rózsa",1907,1995,"music_department,composer,soundtrack","tt0038109,tt0037884,tt0036775,tt0052618"
"nm0000068","Randolph Scott",1898,1987,"actor,producer,soundtrack","tt0026942,tt0029284,tt0051047,tt0056412"
"nm0000069","Frank Sinatra",1915,1998,"soundtrack,actor,producer","tt0048347,tt0056218,tt0052218,tt0045793"
"nm0000070","Max Steiner",1888,1971,"music_department,composer,soundtrack","tt0031381,tt0034583,tt0040897,tt0036613"
"nm0000071","James Stewart",1908,1997,"actor,soundtrack,director","tt0032904,tt0052561,tt0031679,tt0052357"
"nm0000072","Elizabeth Taylor",1932,2011,"actress,soundtrack,producer","tt0053318,tt0061184,tt0051459,tt0056937"
"nm0000073","Shirley Temple",1928,2014,"actress,soundtrack,writer","tt0028118,tt0031580,tt0030657,tt0016029"
"nm0000074","Gene Tierney",1920,1991,"actress,soundtrack","tt0035979,tt0037008,tt0037865,tt0039420"
"nm0000075","Spencer Tracy",1900,1967,"actor,soundtrack","tt0047849,tt0053946,tt0055031,tt0061735"
"nm0000076","François Truffaut",1932,1984,"writer,director,producer","tt0053198,tt0055032,tt0070460,tt0075860"
"nm0000077","Franz Waxman",1906,1967,"music_department,composer,soundtrack","tt0043014,tt0034248,tt0032976,tt0026138"
"nm0000078","John Wayne",1907,1979,"actor,producer,soundtrack","tt0053580,tt0065126,tt0056217,tt0031971"
"nm0000079","Raquel Welch",1940,NA,"","tt0072281,tt0061653,tt0068675,tt0066115"
"nm0000080","Orson Welles",1915,1985,"actor,director,writer","tt0040525,tt0033467,tt0057427,tt0052311"
"nm0000081","Natalie Wood",1938,1981,"actress,soundtrack,music_department","tt0055614,tt0057263,tt0048545,tt0055471"
"nm0000082","Victor Young",1900,1956,"music_department,soundtrack,composer","tt0045061,tt0048960,tt0119094,tt3315342"
"nm0000083","Alan Miller",NA,NA,"editor,writer,director","tt19064180,tt0320978,tt0424773,tt0969216"
"nm0000084","Gong Li",1965,NA,"actress,producer","tt0473444,tt0397535,tt0101640,tt0430357"
"nm0000085","Henner Hofmann",1950,NA,"cinematographer,producer,camera_department","tt1825758,tt0113482,tt0097523,tt0097738"
"nm0000086","Louis de Funès",1914,1983,"actor,writer,soundtrack","tt0069747,tt0074103,tt0079200,tt0064425"
"nm0000087","Elena Koreneva",1953,NA,"actress,casting_director,soundtrack","tt0123138,tt0122969,tt5847740,tt7529350"
"nm0000088","Aleksey Korenev",1927,1995,"director,writer,assistant_director","tt0068304,tt0100069,tt0191104,tt0149586"
"nm0000089","Richard Paul",1940,1998,"actor,soundtrack","tt0088529,tt0075489,tt0117318,tt0086765"
"nm0000090","Armin Mueller-Stahl",1930,NA,"actor,director,writer","tt0117631,tt0765443,tt0139809,tt0963178"
"nm0000091","Gérard Pirès",1942,NA,"director,writer,actor","tt0152930,tt0064297,tt0421974,tt0282552"
"nm0000092","John Cleese",1939,NA,"actor,writer,producer","tt0063929,tt0085959,tt0071853,tt0095159"
"nm0000093","Brad Pitt",1963,NA,"actor,producer,soundtrack","tt1210166,tt2935510,tt0114746,tt0356910"
"nm0000094","J. Reifel",NA,NA,"writer","tt0117915,tt0116030,tt0118631,tt0118886"
"nm0000095","Woody Allen",1935,NA,"writer,director,actor","tt0091167,tt0075686,tt0118954,tt0079522"
"nm0000096","Gillian Anderson",1968,NA,"actress,producer,soundtrack","tt0106179,tt2294189,tt0442632,tt0455590"
"nm0000097","Pamela Anderson",1967,NA,"actress,producer,director","tt0306047,tt0115624,tt0893509,tt0426592"
"nm0000098","Jennifer Aniston",1969,NA,"actress,producer,soundtrack","tt3442006,tt0108778,tt1723121,tt1564367"
"nm0000099","Patricia Arquette",1968,NA,"actress,producer,director","tt0145531,tt1065073,tt0108399,tt0412175"
"nm0000100","Rowan Atkinson",1955,NA,"actor,writer,producer","tt0110357,tt0118689,tt0274166,tt1634122"
"nm0000101","Dan Aykroyd",1952,NA,"writer,actor,producer","tt0097428,tt0087332,tt0118747,tt0080455"
"nm0000102","Kevin Bacon",1958,NA,"actor,producer,soundtrack","tt0087277,tt0164052,tt0327056,tt0361127"
"nm0000103","Fairuza Balk",1974,NA,"actress,soundtrack","tt0115963,tt0120586,tt0089908,tt0181875"
"nm0000104","Antonio Banderas",1960,NA,"actor,soundtrack,writer","tt0120657,tt0120746,tt0285823,tt1189073"
"nm0000105","Adrienne Barbeau",1945,NA,"actress,soundtrack","tt0083767,tt0080749,tt0082340,tt0090685"
"nm0000106","Drew Barrymore",1975,NA,"producer,actress,soundtrack","tt0151738,tt0120631,tt0160127,tt0343660"
"nm0000107","Kim Basinger",1953,NA,"actress,soundtrack,producer","tt0108525,tt0096895,tt0119488,tt0337921"
"nm0000108","Luc Besson",1959,NA,"writer,producer,director","tt0100263,tt0119116,tt2872732,tt0110413"
"nm0000109","Yasmine Bleeth",1968,NA,"actress","tt0131857,tt0115285,tt0096542,tt0337851"
"nm0000110","Kenneth Branagh",1960,NA,"actor,producer,director","tt0107616,tt3402236,tt0116477,tt0097499"
"nm0000111","Matthew Broderick",1962,NA,"actor,soundtrack,director","tt0126886,tt0086567,tt0091042,tt0395251"
"nm0000112","Pierce Brosnan",1953,NA,"actor,producer,soundtrack","tt0120347,tt0155267,tt0143145,tt0795421"
"nm0000113","Sandra Bullock",1964,NA,"producer,actress,soundtrack","tt0111257,tt1041829,tt1454468,tt0212346"
"nm0000114","Steve Buscemi",1957,NA,"actor,producer,director","tt0162346,tt0105236,tt0116282,tt4686844"
"nm0000115","Nicolas Cage",1964,NA,"actor,producer,soundtrack","tt0117500,tt0113627,tt0435705,tt0119094"
"nm0000116","James Cameron",1954,NA,"writer,producer,director","tt0090605,tt0103064,tt0120338,tt0499549"
"nm0000117","Neve Campbell",1973,NA,"actress,producer,soundtrack","tt0134084,tt0117571,tt0120082,tt0120890"
"nm0000118","John Carpenter",1948,NA,"soundtrack,writer,composer","tt0096256,tt0077651,tt0080749,tt0082340"
"nm0000119","Tia Carrere",1967,NA,"actress,soundtrack,producer","tt0105793,tt0207919,tt0275847,tt0111503"
"nm0000120","Jim Carrey",1962,NA,"actor,writer,producer","tt0338013,tt0109040,tt0110475,tt0315327"
"nm0000121","Phoebe Cates",1963,NA,"actress,soundtrack","tt0086143,tt0101775,tt0087363,tt0083929"
"nm0000122","Charles Chaplin",1889,1977,"writer,soundtrack,actor","tt0021749,tt0032553,tt0044837,tt0027977"
"nm0000123","George Clooney",1961,NA,"actor,producer,director","tt0465538,tt0433383,tt1124035,tt1193138"
"nm0000124","Jennifer Connelly",1970,NA,"actress","tt0268978,tt0180093,tt0315983,tt0102803"
"nm0000125","Sean Connery",1930,2020,"actor,producer,soundtrack","tt0117500,tt0094226,tt0059800,tt0055928"
"nm0000126","Kevin Costner",1955,NA,"actor,producer,soundtrack","tt0119925,tt0099348,tt0102798,tt0103855"
"nm0000127","Wes Craven",1939,2015,"writer,producer,director","tt0105121,tt0117571,tt0111686,tt0087800"
"nm0000128","Russell Crowe",1964,NA,"actor,soundtrack,director","tt0268978,tt1707386,tt0172495,tt0119488"
"nm0000129","Tom Cruise",1962,NA,"actor,producer,soundtrack","tt0092099,tt0116695,tt0325710,tt0259711"
"nm0000130","Jamie Lee Curtis",1958,NA,"actress,producer,director","tt0086465,tt0111503,tt1502407,tt0120694"
"nm0000131","John Cusack",1966,NA,"actor,producer,writer","tt0119229,tt0146882,tt0450385,tt0098258"
"nm0000132","Claire Danes",1979,NA,"actress,producer,soundtrack","tt0108872,tt1796960,tt0274558,tt0117509"
"nm0000133","Geena Davis",1956,NA,"actress,producer,soundtrack","tt0091064,tt0116908,tt0104694,tt0103074"
"nm0000134","Robert De Niro",1943,NA,"actor,producer,soundtrack","tt0101540,tt0081398,tt0077416,tt0075314"
"nm0000135","John Denver",1943,1997,"soundtrack,music_department,actor","tt4649466,tt0299328,tt0120591,tt0076489"
"nm0000136","Johnny Depp",1963,NA,"actor,producer,soundtrack","tt0449088,tt0383574,tt0408236,tt0325980"
"nm0000137","Bo Derek",1956,NA,"actress,producer,miscellaneous","tt0086987,tt0099656,tt0083170,tt0114694"
"nm0000138","Leonardo DiCaprio",1974,NA,"actor,producer,soundtrack","tt1375666,tt0993846,tt0120338,tt0407887"
"nm0000139","Cameron Diaz",1972,NA,"actress,producer,soundtrack","tt0160127,tt0129387,tt0259711,tt0119738"
"nm0000140","Michael Douglas",1944,NA,"actor,producer,soundtrack","tt0093010,tt0103772,tt0094291,tt1291580"
"nm0000141","David Duchovny",1960,NA,"actor,producer,director","tt0443701,tt0904208,tt0120902,tt0106179"
"nm0000142","Clint Eastwood",1930,NA,"actor,producer,director","tt0405159,tt1205489,tt0105695,tt0112579"
"nm0000143","Erika Eleniak",1969,NA,"actress","tt0106400,tt0105690,tt0094761,tt0083866"
"nm0000144","Cary Elwes",1962,NA,"actor,producer,director","tt0093779,tt0107977,tt0119468,tt0387564"
"nm0000145","Sherilyn Fenn",1965,NA,"actress,soundtrack","tt0105046,tt0100935,tt0098936,tt0106471"
"nm0000146","Ralph Fiennes",1962,NA,"actor,director,producer","tt1372686,tt2278388,tt0387131,tt0108052"
"nm0000147","Colin Firth",1960,NA,"actor,producer,soundtrack","tt2802144,tt1504320,tt0243155,tt1315981"
"nm0000148","Harrison Ford",1942,NA,"actor,writer,producer","tt0090329,tt0106977,tt0118571,tt0082971"
"nm0000149","Jodie Foster",1962,NA,"actress,director,producer","tt0118884,tt0102926,tt0476964,tt0075314"
"nm0000150","Michael J. Fox",1961,NA,"actor,producer,miscellaneous","tt0096874,tt0115369,tt0116365,tt0088763"
"nm0000151","Morgan Freeman",1937,NA,"actor,producer,soundtrack","tt1057500,tt0468569,tt0114369,tt0097239"
"nm0000152","Richard Gere",1949,NA,"actor,soundtrack,producer","tt0119395,tt0100405,tt0084434,tt0299658"
"nm0000153","Gina Gershon",1962,NA,"actress,soundtrack,producer","tt0114436,tt1726669,tt0431308,tt0115736"
"nm0000154","Mel Gibson",1956,NA,"producer,actor,director","tt0104714,tt0117438,tt0112573,tt0118883"
"nm0000155","Whoopi Goldberg",1955,NA,"actress,producer,writer","tt0088939,tt0099653,tt0105417,tt0108147"
"nm0000156","Jeff Goldblum",1952,NA,"actor,soundtrack,writer","tt0116629,tt2278388,tt0091064,tt0107290"
"nm0000157","Linda Hamilton",1956,NA,"actress","tt0088247,tt0103064,tt0118928,tt6450804"
"nm0000158","Tom Hanks",1956,NA,"producer,actor,soundtrack","tt0094737,tt1535109,tt0162222,tt0109830"
"nm0000159","Teri Hatcher",1964,NA,"actress,soundtrack,writer","tt0410975,tt0106057,tt0227538,tt0120347"
"nm0000160","Ethan Hawke",1970,NA,"actor,producer,writer","tt0381681,tt2209418,tt0112471,tt0139654"
"nm0000161","Salma Hayek",1966,NA,"actress,producer,soundtrack","tt0112851,tt0120891,tt0120679,tt1615065"
"nm0000162","Anne Heche",1969,2022,"actress,writer,producer","tt0120461,tt0119008,tt0120885,tt0120828"
"nm0000163","Dustin Hoffman",1937,NA,"actor,producer,soundtrack","tt0084805,tt0064665,tt0095953,tt0061722"
"nm0000164","Anthony Hopkins",1937,NA,"actor,soundtrack,composer","tt0212985,tt0975645,tt0412080,tt0102926"
"nm0000165","Ron Howard",1954,NA,"actor,producer,writer","tt0268978,tt12262116,tt0367279,tt0112384"
"nm0000166","Helen Hunt",1963,NA,"actress,producer,director","tt0162222,tt0117998,tt0119822,tt0103484"
"nm0000167","Elizabeth Hurley",1965,NA,"actress,producer","tt0230030,tt0145660,tt0118655,tt0105104"
"nm0000168","Samuel L. Jackson",1948,NA,"actor,producer,soundtrack","tt0417148,tt4154664,tt0110912,tt3460252"
"nm0000169","Tommy Lee Jones",1946,NA,"actor,director,soundtrack","tt0106977,tt0477348,tt0443272,tt2398231"
"nm0000170","Milla Jovovich",1975,NA,"actress,soundtrack,producer","tt0119116,tt0120804,tt1220198,tt1220634"
"nm0000171","Ashley Judd",1968,NA,"actress,producer,director","tt0150377,tt0470705,tt0352277,tt0113277"
"nm0000172","Harvey Keitel",1939,NA,"actor,producer,soundtrack","tt0110912,tt2278388,tt0105236,tt0103759"
"nm0000173","Nicole Kidman",1967,NA,"actress,producer,soundtrack","tt0274558,tt0935075,tt0203009,tt0159365"
"nm0000174","Val Kilmer",1959,NA,"actor,soundtrack,producer","tt0373469,tt0101761,tt0120053,tt0235737"
"nm0000175","Stephen King",1947,NA,"writer,producer,actor","tt0091499,tt0111161,tt0324864,tt0083767"
"nm0000176","Nastassja Kinski",1961,NA,"actress,producer,soundtrack","tt0080009,tt0083722,tt0087884,tt0111400"
"nm0000177","Kevin Kline",1947,NA,"actor,soundtrack,music_department","tt0106673,tt0095159,tt0119360,tt0120891"
"nm0000178","Diane Lane",1965,NA,"actress,soundtrack","tt0328589,tt2096673,tt0086066,tt0250797"
"nm0000179","Jude Law",1972,NA,"actor,producer,soundtrack","tt0346156,tt2278388,tt0134119,tt0376541"
"nm0000180","David Lean",1908,1991,"editor,director,writer","tt0056172,tt0087892,tt0059113,tt0050212"
"nm0000181","Heather Locklear",1961,NA,"actress,producer,soundtrack","tt0119695,tt0098193,tt0380623,tt0103491"
"nm0000182","Jennifer Lopez",1969,NA,"actress,producer,soundtrack","tt0252076,tt5503686,tt2126357,tt0120780"
"nm0000183","Traci Lords",1968,NA,"actress,soundtrack,producer","tt1007028,tt0099329,tt0120611,tt1984153"
"nm0000184","George Lucas",1944,NA,"writer,producer,director","tt0066434,tt0082971,tt0069704,tt0076759"
"nm0000185","Dolph Lundgren",1957,NA,"actor,producer,director","tt0093507,tt0113481,tt0105698,tt0089927"
"nm0000186","David Lynch",1946,NA,"writer,director,producer","tt0460829,tt0166924,tt0098936,tt0105665"
"nm0000187","Madonna",1958,NA,"soundtrack,composer,actress","tt0246460,tt0116250,tt0106453,tt0104694"
"nm0000188","Steve Martin",1945,NA,"writer,actor,producer","tt0093886,tt0383216,tt0102250,tt0079367"
"nm0000189","Jenny McCarthy-Wahlberg",1972,NA,"actress,producer,writer","tt0134084,tt0327643,tt0455967,tt0131857"
"nm0000190","Matthew McConaughey",1969,NA,"actor,producer,soundtrack","tt1915581,tt1935179,tt1726669,tt0790636"
"nm0000191","Ewan McGregor",1971,NA,"actor,writer,producer","tt0117951,tt0203009,tt2763304,tt1322269"
"nm0000192","Alyssa Milano",1972,NA,"actress,producer,soundtrack","tt0158552,tt0088944,tt0116287,tt0086827"
"nm0000193","Demi Moore",1962,NA,"actress,producer,director","tt0107211,tt0099653,tt0119173,tt0305357"
"nm0000194","Julianne Moore",1960,NA,"actress,producer,soundtrack","tt0842926,tt0118749,tt0297884,tt0175880"
"nm0000195","Bill Murray",1950,NA,"actor,soundtrack,writer","tt1748122,tt0335266,tt0128445,tt0362270"
"nm0000196","Mike Myers",1963,NA,"actor,writer,soundtrack","tt0295178,tt0811138,tt0145660,tt0118655"
"nm0000197","Jack Nicholson",1937,NA,"actor,soundtrack,producer","tt0071315,tt0407887,tt0119822,tt0073486"
"nm0000198","Gary Oldman",1958,NA,"actor,soundtrack,producer","tt1340800,tt4555426,tt0103874,tt0468569"
"nm0000199","Al Pacino",1940,NA,"actor,producer,soundtrack","tt0099422,tt0070666,tt0072890,tt0068646"
"nm0000200","Bill Paxton",1955,2017,"actor,producer,writer","tt0090605,tt0112384,tt0117998,tt0264616"
"nm0000201","Michelle Pfeiffer",1958,NA,"actress,soundtrack,producer","tt0117247,tt0112792,tt0427327,tt0161081"
"nm0000202","Ryan Phillippe",1974,NA,"actor,producer,director","tt0139134,tt0375679,tt0120577,tt0280707"
"nm0000203","River Phoenix",1970,1993,"actor,soundtrack","tt0096018,tt0102494,tt0091557,tt0092005"
"nm0000204","Natalie Portman",1981,NA,"actress,producer,soundtrack","tt0110413,tt0947798,tt0434409,tt0376541"
"nm0000205","Parker Posey",1968,NA,"actress,soundtrack,writer","tt0134084,tt0106677,tt0348150,tt0359013"
"nm0000206","Keanu Reeves",1964,NA,"actor,producer,soundtrack","tt0133093,tt0102685,tt0111257,tt0234215"
"nm0000207","Christina Ricci",1980,NA,"actress,producer,soundtrack","tt0462200,tt0811080,tt0118789,tt0112642"
"nm0000208","Molly Ringwald",1968,NA,"actress,soundtrack,music_department","tt0088847,tt0095169,tt0088128,tt0091790"
"nm0000209","Tim Robbins",1958,NA,"actor,producer,director","tt0091225,tt0327056,tt0112818,tt0105151"
"nm0000210","Julia Roberts",1967,NA,"actress,producer,soundtrack","tt0100405,tt0195685,tt0376541,tt0119738"
"nm0000211","Mimi Rogers",1956,NA,"actress,producer,soundtrack","tt0118655,tt0120738,tt0210070,tt0488085"
"nm0000212","Meg Ryan",1961,NA,"actress,producer,soundtrack","tt0120632,tt0128853,tt0098635,tt0108160"
"nm0000213","Winona Ryder",1971,NA,"actress,producer,soundtrack","tt0110367,tt0172493,tt0100140,tt0097493"
"nm0000214","Mia Sara",1967,NA,"actress,soundtrack","tt0089469,tt0312098,tt0091042,tt0111438"
"nm0000215","Susan Sarandon",1946,NA,"actress,producer,soundtrack","tt0120686,tt0109446,tt0112818,tt0103074"
"nm0000216","Arnold Schwarzenegger",1947,NA,"actor,producer,director","tt0107362,tt0088247,tt0103064,tt0216216"
"nm0000217","Martin Scorsese",1942,NA,"producer,director,actor","tt0075314,tt0070379,tt0099685,tt0106226"
"nm0000218","Kristin Scott Thomas",1960,NA,"actress,soundtrack,director","tt0109831,tt0116209,tt0280707,tt1602613"
"nm0000219","Steven Seagal",1952,NA,"actor,producer,writer","tt0094602,tt0110725,tt0242445,tt0105690"
"nm0000220","Joan Severance",1958,NA,"actress,producer","tt0099141,tt0115696,tt0112519,tt0098282"
"nm0000221","Charlie Sheen",1965,NA,"actor,producer,soundtrack","tt0107144,tt0108333,tt0369179,tt0094291"
"nm0000222","Brooke Shields",1965,NA,"actress,producer,soundtrack","tt0078111,tt0080116,tt0080453,tt0115376"
"nm0000223","Elisabeth Shue",1963,NA,"actress,soundtrack,producer","tt0092513,tt0120053,tt0113627,tt0087538"
"nm0000224","Alicia Silverstone",1976,NA,"actress,producer,soundtrack","tt0119086,tt0118688,tt0124298,tt0112697"
"nm0000225","Christian Slater",1969,NA,"actor,producer,soundtrack","tt0124198,tt0115759,tt0102798,tt0108399"
"nm0000226","Will Smith",1968,NA,"producer,actor,soundtrack","tt0480249,tt0098800,tt0116629,tt0119654"
"nm0000227","Mira Sorvino",1967,NA,"actress,producer,soundtrack","tt0364343,tt0113819,tt0120008,tt0120032"
"nm0000228","Kevin Spacey",1959,NA,"actor,producer,soundtrack","tt0119488,tt0114369,tt0114814,tt0169547"
"nm0000229","Steven Spielberg",1946,NA,"producer,writer,director","tt0082971,tt0083866,tt0120815,tt0108052"
"nm0000230","Sylvester Stallone",1946,NA,"actor,writer,producer","tt0084602,tt0089927,tt3076658,tt0075148"
"nm0000231","Oliver Stone",1946,NA,"director,producer,writer","tt0102138,tt0110632,tt0096969,tt0091763"
"nm0000232","Sharon Stone",1958,NA,"actress,producer,soundtrack","tt0103772,tt0114214,tt0108162,tt0112641"
"nm0000233","Quentin Tarantino",1963,NA,"writer,actor,producer","tt0116367,tt7131622,tt0105236,tt0110912"
"nm0000234","Charlize Theron",1975,NA,"producer,actress,soundtrack","tt1735898,tt0340855,tt5610554,tt1392190"
"nm0000235","Uma Thurman",1970,NA,"actress,soundtrack,producer","tt0118688,tt0110912,tt0378194,tt0266697"
"nm0000236","Jennifer Tilly",1958,NA,"actress,soundtrack,writer","tt0115736,tt0109348,tt0144120,tt0387575"
"nm0000237","John Travolta",1954,NA,"actor,soundtrack,producer","tt0110912,tt0113161,tt0077631,tt0076666"
"nm0000238","Shannon Tweed",1957,NA,"actress,producer,miscellaneous","tt0094834,tt0110675,tt0165710,tt0112942"
"nm0000239","Liv Tyler",1977,NA,"actress,soundtrack,producer","tt0120737,tt0482606,tt0120591,tt0167260"
"nm0000240","Skeet Ulrich",1970,NA,"actor,director,producer","tt0117571,tt0913354,tt0409572,tt0115963"
